School Name,Address,Website_x,City_x,Category_x,Gender_x,Principal_x,Founded_x,Affiliation_x,Web Url,Fees_x,Revenue_x,Mobile/Contact Number_x,Principal/Heigher Mgm. Emails_x,Emails_x,Other Higher Mgm. Email_x,Other Email_x,Other Email.1_x,Contact number_x,Contact number.1_x,Contact number.2_x,Merged_Unnamed_x,Unnamed: 22,Unnamed: 23,Pincode,Website_y,City_y,Category_y,Gender_y,Principal_y,Founded_y,Affiliation_y,Strength,Website.1,Fees_y,Revenue_y,Mobile/Contact Number_y,Principal/Heigher Mgm. Emails_y,Emails_y,Other Higher Mgm. Email_y,Other Email_y,Other Email.1_y,Contact number_y,Contact number.1_y,Contact number.2_y,Merged_Unnamed_y,Web Url_x,Unnamed: 22_x,Unnamed: 23_x,Web Url_y,Unnamed: 22_y,Unnamed: 23_y,Unnamed: 24
"carmel school, kolkata","budge budge trunk road, maheshtala, parbangla, budge budge, kolkata, west bengal 700137",http://chskolkata.in/chs/index.php,West Bengal,School,,,,,,,,3 crore,,033 2480 0295,,,chskolkata@gmail.com,carmelschooldp@gmail.com,kecarmelbehala@gmail.com,9840000000,8340000000,9830000000,,700137.0,http://chskolkata.in/chs/index.php,West Bengal,School,,,,,,,3 crore,,033 2480 0295,,,chskolkata@gmail.com,carmelschooldp@gmail.com,kecarmelbehala@gmail.com,9836401746,8335802827,9830318494,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
"carmel school, kolkata","budge budge trunk road, maheshtala, parbangla, budge budge, kolkata, west bengal 700137",http://chskolkata.in/chs/index.php,West Bengal,School,,,,,,,,3 crore,,033 2480 0295,,,chskolkata@gmail.com,carmelschooldp@gmail.com,kecarmelbehala@gmail.com,9840000000,8340000000,9830000000,,700137.0,http://chskolkata.in/chs/index.php,West Bengal,Private School,,,,,,,1/2 crore,,033 2480 0295,,,chskolkata@gmail.com,carmelschooldp@gmail.com,kecarmelbehala@gmail.com,9836401746,8335802827,9830318494,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
"carmel school, kolkata","budge budge trunk road, maheshtala, parbangla, budge budge, kolkata, west bengal 700137",http://chskolkata.in/chs/index.php,West Bengal,School,,,,,,,,3 crore,,033 2480 0295,,,chskolkata@gmail.com,carmelschooldp@gmail.com,kecarmelbehala@gmail.com,9840000000,8340000000,9830000000,,700137.0,http://chskolkata.in/chs/index.php,West Bengal,ICSE School,,,,,,,4020 crore,,033 2480 0295,,,chskolkata@gmail.com,carmelschooldp@gmail.com,kecarmelbehala@gmail.com,9836401746,8335802827,9830318494,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
vivekananda mission school,"13, vivek ville opposite iim pailan, p.o, joka, kolkata, west bengal 700104",http://vms.edu.in/,West Bengal,School,,,,,,,,2.5 crore,,033 2970 1949,,,info@vms.edu.in,mecvmhs@gmail.com,info@vmhschool.com,7600000000,7440000000,admin@vms.edu.in,,700104.0,http://vms.edu.in/,West Bengal,Schools,,,,,,,,,033 2970 1949,,,mecvmhs@gmail.com,info@vmhschool.com,admin@vms.edu.in,7596949952,info@vivekanandmissionschool.org,bileyvihar@gmail.com,"mpsshaberi@gmail.com, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
vivekananda mission school,"13, vivek ville opposite iim pailan, p.o, joka, kolkata, west bengal 700104",http://vms.edu.in/,West Bengal,School,,,,,,,,2.5 crore,,033 2970 1949,,,info@vms.edu.in,mecvmhs@gmail.com,info@vmhschool.com,7600000000,7440000000,admin@vms.edu.in,,700104.0,http://vms.edu.in/,West Bengal,School,,,,,,,2.5 crore,,033 2970 1949,,,info@vms.edu.in,mecvmhs@gmail.com,info@vmhschool.com,7596949952,7439400724,admin@vms.edu.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
vivekananda mission school,"13, vivek ville opposite iim pailan, p.o, joka, kolkata, west bengal 700104",http://vms.edu.in/,West Bengal,School,,,,,,,,2.5 crore,,033 2970 1949,,,info@vms.edu.in,mecvmhs@gmail.com,info@vmhschool.com,7600000000,7440000000,admin@vms.edu.in,,700104.0,http://vms.edu.in/,West Bengal,ICSE School,,,,,,,3 crore,,033 2970 1949,,,mecvmhs@gmail.com,info@vmhschool.com,info@vivekanandmissionschool.org,7596949952,7439400724,info@vms.edu.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
bbit public school cbse board,"unnamed road, nishchintapur, budge budge, west bengal 700137",http://www.bbitpublicschool.com/,West Bengal,School,,,,,,,,4 crore,,033 2482 0676,,,school@bbit.edu.in,principalschool@bbit.edu.in,contact@bbit.edu.in,8420000000,8420000000,8100000000,,700137.0,http://www.bbitpublicschool.com/,West Bengal,School,,,,,,,4 crore,,033 2482 0676,,,school@bbit.edu.in,principalschool@bbit.edu.in,contact@bbit.edu.in,8420116666,8420123333,8100075724,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
uttarpara govt. high school,"262, grand trunk rd, kotrung, uttarpara, west bengal 712258",http://www.uttarparagovtschool-esa.org/,West Bengal,School,,,,,,,,1/2 crore,,080132 82307,,,admin@uttarparagovtschool-esa.org,ughsesa2014@gmail.com,info@sparkgroup.in,8010000000,919000000000,-9000000000,,712258.0,http://www.uttarparagovtschool-esa.org/,West Bengal,School,,,,,,,1/2 crore,,080132 82307,,,admin@uttarparagovtschool-esa.org,ughsesa2014@gmail.com,info@sparkgroup.in,8013282307,919433457826,+91 - 8967968526,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
shemford futuristic school,"goda p, west bengal 713102",http://shemfordburdwan.com/,West Bengal,School,,,,,,,,1/2 crore,,070471 28077,,,admissions@gurugram.shemford.com,auraiya.shemford@gmail,guwahati@shemford.com,8000000000,8000000000,-7000000000,,713102.0,http://shemfordburdwan.com/,West Bengal,Schools,,,,,,,,,070471 28077,,,admissions@gurugram.shemford.com,burdwan@shemford.com,pinjore@shemford.com,8001727777,8001728888,+91-8448496733,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
shemford futuristic school,"goda p, west bengal 713102",http://shemfordburdwan.com/,West Bengal,School,,,,,,,,1/2 crore,,070471 28077,,,admissions@gurugram.shemford.com,auraiya.shemford@gmail,guwahati@shemford.com,8000000000,8000000000,-7000000000,,713102.0,http://shemfordburdwan.com/,West Bengal,School,,,,,,,1/2 crore,,070471 28077,,,admissions@gurugram.shemford.com,auraiya.shemford@gmail,guwahati@shemford.com,8001727777,8001728888,+91-7017941785,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
