CRM ID ,Hot Lead School Name,Address,Mobile No. 
7647,ILVA HIGHER SECONDARY SCHOOL-PROF H K JAIN,"31, Sapna Sangeeta Road, Behind Lotus, Sneh Nager, Navlakha, Indore, Madhya Pradesh 452001 Phone: 0731 246 0990",910731 460990
10366,EVERGREEN PUBLIC SCHOOL-MS SANGEETA BABEL,"Neelkanth Mahadev Colony, Shastri Nagar, Bhilwara, Rajasthan 311001","98290 45569, 9511502044"
12657,THE KHAITAN SCHOOL-MRS DAVINDER KAUR,"Block F, 1A/A, F Block, Sector 40, Noida, Uttar Pradesh 201303",9810521180
64995,MGM School -Bokaro,"M5P6+5H5, Sector 4-F, near Central Bank of India, Sector 4-F, Sector 4, Bokaro Steel City, Jharkhand 827004","94705 91856, 9470591858, 9470970651"
65312,Annpurna Bal Vinay Mandir High School: Sagar pandya,"393, Kulkarni Ka Bhatta, Kalyanmill Naka, Pardesipura, Indore - 452003, Near MP Government School","98266 66484, 99772 86607"
65433,kids fountain play school- sanjay,"Purvanchal Royal City, Plot No. GH-05 Sector CHI-V, Greater Noida",9311771107
65653,"Lotus Valley School, Ajmer - Mr.Ajay Singh Rajput","M.S Rawat Colony, Chamunda Chauraha, Foy Sagar Rd, Ajmer, Rajasthan 305005","94137 02432, 7014564495, "
65893,Rajwanshi Sr. Sec. School/Suresh Kumar,"Narnaul Ho, Narnaul - 123001 (Vpo Dohcana, Dist M/Garh, Haryana ",97290 14990
65914,RAJA Sahib Public Sr. Sec. School Jhingran/Principal Tarjiwan Singh Garcha,"Raja Sahib Sen. Sec, School VPO Jhingran Distt SBS Nagar, Punjab 4X6J+PM4, Pin coce :- 144507","81465 40969, Balvir singh 8847593896, 94176-72639"
66009,Anantha Sai Vidya Nikethan-Srikanth,"Sukh Vihar, Bagh Amberpet, Amberpet, Hyderabad, Telangana 500013","91777 73945, 98498 01147"
66203,Shree Swaminarayan High School-Ankit Choksi,"Swaminarayan Mandir Compound, Daxini Railway Crossing, Maninagar, Ahmedabad - 380008",94280 17305
66301,Saraswati Vidya Mandir School,"Hansi Road, Jind HO, Jind - 126102 (Near Industrial Area)",94161 68131
66327,Bahjoi Heritage public school-Sumit Kumar Varshney,"Bahjoi Heritage Public School,Islamnagar Churaha (pincode: 244410),Ray Pur Kalan.Behjoi, Sambhal (Bhim Nagar), Uttar Pradesh",92599 99919
66331,Gurukul Academy-Ravindra Pandey,"Indra Nagar, Garautha, Uttar Pradesh 284203",89014 61281
