School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
ARS Public School,"BSL LH, Lakda Khanda, Bokaro Steel City, Jharkhand 827010",http://www.arspublicschool.com/Default_1.aspx,Jharkhand,"CBSE School, School",,Biswajit Patra,2005,,,4 crore,,082102 89817,"karunaprasad@hotmail.com, drbalraj8@gmail.com","dhanashri13@gmail.com, dr.varinder@gmail.com",biswajitpatra4869@rediffmail.com,"principal@arssocietybokaro.com, support@arspublicschool.com","info@arssocietybokaro.com, principal@arssocietybokaro.com",9204780407,8210289817,8709941699,,,,
Academic Heights Public School,"100 Feet Road,, near Indira Gandhi Statue, Anand, Gujarat 388001",http://www.academicheights.in/,Gujarat,Private Schoos,,,,,,8 lakh,,094265 03335,er.bhagat@gmail.com,,admissions@academicheights.in,beeramguda@academicheightshyd.com,ahpsboduppalprincipal@gmail.com,8926818818,8926828828,7643828111,,,,
Academic Heights Public School,"Laksar Road, Jagjeetpur, Post-Kankhal, Haridwar, Uttarakhand 249408",http://www.academicheights.in/,Uttarakhand,"Private School, ICSE School",,,,,,"3859 crore, 2 crore",,093190 51539,,,support@academicheights.in,franchisee@academicheights.in,admissions@academicheights.in,8888282872,9975718877,7290047000,"7388900186, 9667884566, 9414190299",,,
Academic Heights Public School,"Maitri Bunglow no. 3, Tagore Road, Adipur, near Abhishek Apartments, Gujarat 370205",http://www.academicheights.in/,Gujarat,Private Schoos,,,,,,12 lakh,,097264 47977,pradhan1975@yahoo.com,,admissions@academicheights.in,beeramguda@academicheightshyd.com,ahpsboduppalprincipal@gmail.com,8926818818,8926828828,7643828111,,,,
Academic Heights Public School,"Mungeli Rd, 27 Kholi, District Court Area, Bilaspur, Chhattisgarh 495001",http://www.academicheights.in/,Chhattisgarh,Private Schoos,,,,,,12 lakh,,099776 01739,er.lakaparampil@yahoo.com,,support@academicheights.in,admissions@academicheights.in,ahpsboduppalprincipal@gmail.com,7290047000,7093903311,,,,,
Acharya Narendra Dev College University Of Delhi.,"Acharya Narendra Dev College Govindpuri kalka ji New Delhi-19, New Delhi, Delhi 110019",http://andcollege.du.ac.in/,,School,,Dr. Ravi Toteja,1991,University of Delhi,,,,011 2629 4541,mitra13@gmail.com,pro.chand@gmail.com,principal@andc.du.ac.in,diwakar@andc.du.ac.in,anupama@andc.du.ac.in,9911180148,,,,,,
Adamas world school,"Barasat - Barrackpore Road 24 Parganas (North), Jagannathpur, Kolkata, West Bengal 700126",https://adamas-world-school.business.site/,West Bengal,School,,,,,,2.5 crore,,090739 04953,,,adamasworldschool@aws.adamas.co.in,ais@ais.adamas.co.in,reception.ais@ais.adamas.co.in,8479918038,8479918043,8336944340,"hod.me@rit.ac.in, hod.mca@rit.ac.in, hod.physics@rit.ac.in, hod.chemistry@rit.ac.in, hod.maths@rit.ac.in, hod.physicaleducation@rit.ac.in, warden@rit.ac.in, librarian@rit.ac.in",,,
Adarsh Vidya Kendra,"Vetturnimadam, Kanyakumari District, Nagercoil, Tamil Nadu 629003",http://www.avk.edu.in/,,School,,Mr. Binumon V. R,1984,Central Board of Secondary Education,,,,04652 230 735,er.swaminathan@gmail.com,arora.msc@gmail.com,adarshvidyakendra@avk.edu.in,chairman@avk.edu.in,avkcbse@gmail.com,avk_ngl@yahoo.in,,,,,,
Adarsh Vidya Mandir,"Darku Nagar, Chas, Bihar Colony, Shivpuri Colony, Bokaro Steel City, Jharkhand 827013",http://www.avmbokaro.co.in/,Jharkhand,"School, Private School, CBSE School",,C. Ghosh,,,,"1/2 crore, 2.5 crore, 5 crore",,06542 265 171,"pskalra.bsc@rediff.com, sarkar6@yahoo.com, thornton1969@gmail.com","sandhyakumari17@gmail.com, shruti.bsc@gmail.com, biswaskadambini@gmail.com",avmsvp@yahoo.com,dheerajshipra@gmail.com,avmunnao@gmail.com,9811085857,+91-9214174743,+91-9214673582,,,,
Aditya Engineering College,"ADB Road, Aditya Nagar, Surampalem, Andhra Pradesh 533437",https://www.aec.edu.in/,Andhra Pradesh,International School,,M Sreenivasa Reddy,,,,1/2 crore,,099498 76662,psrinivasarao@gmail.com,diwaker7@gmail.com,office@aec.edu.in,aram@aditya.ac.in,consular4@aditya.ac.in,7036076661,919676115608,8593914441,,,,
