School Name,Address,Pincode,Website,City,Category,Gender,Principal,Founded,Affiliation,Strength,Website,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed
MEC Public School,"Plot No. 12, 9th A Cross Road, New Town, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://cbse-mec.in/,Yelahanka ,State Board School,,,,,,,,,088804 41441,,,enquiry@mec.edu.in,principal@cbse-mec.in,enquiry@cbse-mec.in,8041533949,8880441441,8043432122,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Jnana Jyothi,"Bangalore, Yelahanka, Karnataka 560064",560064.0,https://jnanajyothiynk.com/product-category/degree/,Yelahanka ,State Board School,,,,,,,,,088617 67015,,,manu.rajeev@yahoo.com,info-gjs@gnanajyothischool.com,info@gnanajyothi,9945421399,9980072855,9343328168,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Oxford English High School,"Rythara Shandy Road,, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://newoxfordylk.org/Admission.html,Yelahanka ,English Medium School,,,,,,,,,093413 01825,,,oxfordnagarbhavi@gmail.com,info@oxfordinstitutions.org,icseprincipal@theoxford.edu,9900174435,9845185324,7693041784,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Canadian International School, Banaglore","4 & 20, Manchenahalli, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://www.canadianinternationalschool.com/,Yelahanka ,English Medium School,,,1996,,,,,,080675 94444,,,info@cisb.org.in,enroll@cisb.org.in,hos@cisb.org.in,9845150395,xxxx@canadianinternationalschool.com,,"8737045391, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
KIDZEE YELAHANKA,"A2, Off -560064, 17, 1st Main Rd, A Sector, RWF West Colony, Yelahanka New Town, Bengaluru, Karnataka 560064",560064.0,http://www.kidzee.com/,Yelahanka ,English Medium School,,,,,,,,,099645 71939,,,kidzee752@kidzee.com,kidzee1632@kidzee.com,kidzeewhitefield@gmail.com,919880418044,919964571939,919036893283,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kendriya Vidyalaya Air Force Station,"Yelahanka, Bengaluru, Karnataka 560063",560063.0,https://afsyelahanka.kvs.ac.in/,Yelahanka ,English Medium School,,,,,,,,,080 2847 8744,,,kvafsjorhat1@gmail.com,principal060@yahoo.co.in,ppl.gokulnagar@kvs.gov.in,kvkadarpur@gmail.com,v3ambalacantt@gmail.com,kvafsgorakhpur@rediffmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Bachpan Play School, Byrathi","No: 181, Kuvempu Layout, 1st Cross, 1st Main, Gubbi Cross, Kothnur, Byrathi, Karnataka 560077",560077.0,https://www.bachpanglobal.com/,Yelahanka ,English Medium School,,,,,,,,,099860 04391,,,franchise@bachpanglobal.com,admissions@bachpanglobal.com,response@bachpanglobal.com,9811437000,7290047000,+91-9811437000,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Bachpan play school,"SFS 208 4th Phase, Self Financed Society 407 Colony, Yelahanka New Town, Bengaluru, Karnataka 560064",560064.0,https://www.bachpanglobal.com/,Yelahanka ,English Medium School,,,,,,,,,078998 84545,,,franchise@bachpanglobal.com,admissions@bachpanglobal.com,response@bachpanglobal.com,9811437000,7290047000,+91-9811437000,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Trio World Academy,"3/5, Kodigehalli Main Rd, Defence Layout, Sahakar Nagar, Bengaluru, Karnataka 560092",560092.0,http://www.trioworldacademy.com/,Yelahanka ,English Medium School,,,2007,,,,,,080 4061 1222,,,admissions-ib@trioschools.com,jane@trioworldacademy.com,info@trioschools.com,9663041122,8040611222,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Stonehill International School,"No.259/333/334/335, Tarahunise Post, Jala Hobli, Bengaluru, Karnataka 562157",562157.0,http://stonehill.in/,Yelahanka ,English Medium School,,,2008,,,,,,080 4341 8300,,,jane.doe@stonehill.in,info@stonehill.in,,8043418300,7026666911,8494922100,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Shree Bharathi Public School,"Opposite Vijaya Hospital, Post, near Rajiv Gandhi Dental Collage, Chamundi Nagar, RT Nagar, Bengaluru, Karnataka 560032",560032.0,http://www.bharathiinstitutions.in/,Yelahanka ,English Medium School,,,,,,,,,080 2354 6596,,,info@bharathiinstitution.in,director@bharathiinstitutions.in,info@bharathiinstitutions.in,7847037927,9141879732,8147480974,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Presidency University,"Itgalpur Rajanakunte, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://presidencyuniversity.in/,Yelahanka ,English Medium School,,,2013,,,,,,080 4925 5533,,,vc.office@presiuniv.ac.in,sec.registrar@presiuniv.ac.in,hod.dls@presiuniv.ac.in,9022092222,9538812343,9538712342,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Blossoms School,"No. 780, 18th Cross Rd, Defence Colony, Bagalakunte, Bengaluru, Karnataka 560073",560073.0,http://www.blossomstv.com/blossoms-school.aspx,Yelahanka ,English Medium School,,,,,,,,,080 2837 4763,,,mksalg@yahoo.com,theblossomsschool@yahoo.com,blossoms@theblossoms.school,9455382101,info@blossomsschool.org,blossomschoolnagpur@gmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
